STOCK CODE,SUBCATEGORY NAME,SHORT DESCRIPTION,IMAGE,MANUFACTURER,MANUFACTURER SKU,DBP,RRP
NWG-WGPSP30303,Subscriptions  Licensing,WatchGuard Passport (EPDR + AuthPoint + DNSWatchGO) - 3 Year - 101 to 250 Users - License Per User,https://www.leadersystems.com.au/Images/NWG-WGPSP30303.jpg,Watchguard,WGPSP30303,235,294
NWG-WGT85263,Subscriptions  Licensing,WatchGuard Gold Support Renewal/Upgrade 3-yr for Firebox T85-PoE,https://www.leadersystems.com.au/Images/NWG-WGT85263.jpg,Watchguard,WGT85263,1679,2092
NWG-WGVME111,Email Security,WatchGuard spamBlocker 1-yr for FireboxV Medium,https://www.leadersystems.com.au/Images/NWG-WGVME111.jpg,Watchguard,WGVME111,1070,1333
NWG-WGVLG351,Subscriptions  Licensing,WatchGuard Total Security Suite Renewal/Upgrade 1-yr for FireboxV Large,https://www.leadersystems.com.au/Images/NWG-WGVLG351.jpg,Watchguard,WGVLG351,9308,11810
NWG-WGVLG173,Cloud  Server Security,WatchGuard APT Blocker 3-yr for FireboxV Large,https://www.leadersystems.com.au/Images/NWG-WGVLG173.jpg,Watchguard,WGVLG173,5450,6915
NWG-WGVLG101,Cloud  Server Security,WatchGuard WebBlocker 1-yr for FireboxV Large,https://www.leadersystems.com.au/Images/NWG-WGVLG101.jpg,Watchguard,WGVLG101,2267,2876
NWG-WGVXL353,Subscriptions  Licensing,WatchGuard Total Security Suite Renewal/Upgrade 3-yr for FireboxV XLarge,https://www.leadersystems.com.au/Images/NWG-WGVXL353.jpg,Watchguard,WGVXL353,45780,67782
NWG-WGVXL261,Subscriptions  Licensing,WatchGuard Gold Support Renewal/Upgrade 1-yr for FireboxV XLarge,https://www.leadersystems.com.au/Images/NWG-WGVXL261.jpg,Watchguard,WGVXL261,4496,5705
NWG-WGVXL181,Subscriptions  Licensing,WatchGuard Network Discovery 1-yr for FireboxV XLarge,https://www.leadersystems.com.au/Images/NWG-WGVXL181.jpg,Watchguard,WGVXL181,4533,5752
NWG-WGM37121,Subscriptions  Licensing,WatchGuard Gateway AntiVirus 1-yr for Firebox M370,https://www.leadersystems.com.au/Images/NWG-WGM37121.jpg,Watchguard,WGM37121,821,1023
