STOCK CODE,SUBCATEGORY NAME,SHORT DESCRIPTION,IMAGE,MANUFACTURER,MANUFACTURER SKU,DBP,RRP
NWG-MSS019528,Subscriptions  Licensing,WatchGuard MSSP 500 Pre Pay Points,https://www.leadersystems.com.au/Images/NWG-MSS019528.jpg,Watchguard,MSS019528,622.00,786.00
NWG-WG460301,Subscriptions  Licensing,WatchGuard NGFW Suite Renewal/Upgrade 1-yr for Firebox M4600,https://www.leadersystems.com.au/Images/NWG-WG460301.jpg,Watchguard,WG460301,7389.00,9374.00
NWG-WG460351,Subscriptions  Licensing,WatchGuard Total Security Suite Renewal/Upgrade 1-yr for Firebox M4600,https://www.leadersystems.com.au/Images/NWG-WG460351.jpg,Watchguard,WG460351,21720.00,27555.00
NWG-WGCSM331,Subscriptions  Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 1-yr for Firebox Cloud Small,https://www.leadersystems.com.au/Images/NWG-WGCSM331.jpg,Watchguard,WGCSM331,936.00,1167.00
NWG-WGCSM203,Subscriptions  Licensing,WatchGuard Standard Support Renewal 3-yr for Firebox Cloud Small,https://www.leadersystems.com.au/Images/NWG-WGCSM203.jpg,Watchguard,WGCSM203,710.00,885.00
NWG-WGCME351,Subscriptions  Licensing,WatchGuard Total Security Suite Renewal/Upgrade 1-yr for Firebox Cloud Medium,https://www.leadersystems.com.au/Images/NWG-WGCME351.jpg,Watchguard,WGCME351,4633.00,5772.00
NWG-WGCME203,Subscriptions  Licensing,WatchGuard Standard Support Renewal 3-yr for Firebox Cloud Medium,https://www.leadersystems.com.au/Images/NWG-WGCME203.jpg,Watchguard,WGCME203,1673.00,2084.00
NWG-WGCME201,Subscriptions  Licensing,WatchGuard Standard Support Renewal 1-yr for Firebox Cloud Medium,https://www.leadersystems.com.au/Images/NWG-WGCME201.jpg,Watchguard,WGCME201,719.00,896.00
NWG-WGCLG351,Subscriptions  Licensing,WatchGuard Total Security Suite Renewal/Upgrade 1-yr for Firebox Cloud Large,https://www.leadersystems.com.au/Images/NWG-WGCLG351.jpg,Watchguard,WGCLG351,9872.00,12525.00
NWG-WGCLG333,Subscriptions  Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 3-yr for Firebox Cloud Large,https://www.leadersystems.com.au/Images/NWG-WGCLG333.jpg,Watchguard,WGCLG333,10838.00,13750.00
NWG-WGCXL333,Subscriptions  Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 3-yr for Firebox Cloud XLarge,https://www.leadersystems.com.au/Images/NWG-WGCXL333.jpg,Watchguard,WGCXL333,21590.00,27390.00
NWG-WGCXL331,Subscriptions  Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 1-yr for Firebox Cloud XLarge,https://www.leadersystems.com.au/Images/NWG-WGCXL331.jpg,Watchguard,WGCXL331,9284.00,11778.00
NWG-WGVSM331,Subscriptions  Licensing,WatchGuard Basic Security Suite Renewal/Upgrade 1-yr for FireboxV Small,https://www.leadersystems.com.au/Images/NWG-WGVSM331.jpg,Watchguard,WGVSM331,936.00,1167.00
NWG-WGVSM203,Subscriptions  Licensing,WatchGuard Standard Support Renewal 3-yr for FireboxV Small,https://www.leadersystems.com.au/Images/NWG-WGVSM203.jpg,Watchguard,WGVSM203,710.00,885.00
NWG-WGVSM151,Subscriptions  Licensing,WatchGuard Application Control 1-yr for FireboxV Small,https://www.leadersystems.com.au/Images/NWG-WGVSM151.jpg,Watchguard,WGVSM151,460.00,574.00
NWG-WGVSM181,Subscriptions  Licensing,WatchGuard Network Discovery 1-yr for FireboxV Small,https://www.leadersystems.com.au/Images/NWG-WGVSM181.jpg,Watchguard,WGVSM181,460.00,574.00
