SKU,Name,Method of Delivery,Product Family,Product Group,url in dealershop
NWG-WGT1260083,WatchGuard Total Security Suite for Firebox T125-W - 3-Year (License ONLY; HW SKU: WGT126000),Electronic,T-Series,T125-W,https://partner.leadersystems.com.au/products.html?DwyS/z5YH3w=L6+0by98/PN1hjkWiyJPqQ==fv7yJM8Z1e6BZO8QrgTq+HyXhgQNGg==
NWG-WGT1850205,Trade Up to WatchGuard Basic Security Suite for Firebox T185 - 5-Year (License ONLY; HW SKU: WGT185000),Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?HdBBAJAmb3c=+tsfknBeZipA1sL0MR0iMw==/j05jv3n0lSCr2hEpW7IOqDDB3XGwQ==
NWG-WGT1850213,Trade Up to WatchGuard Total Security Suite for Firebox T185 - 3-Year (License ONLY; HW SKU: WGT185000),Electronic,T-Series,T185,https://partner.leadersystems.com.au/products.html?3LIXFIao++8=Zn2q2Eqrs08yBBcR8KtuUQ==nkq19oA85NNl+5RDt8PkoyfKbTqcwQ==
NWG-WGTSST30001,WatchGuard Total NDR NFR - 1 year - 1+ license,Electronic,MDR & NDR,Total NDR,https://partner.leadersystems.com.au/products.html?A5edipZUbww=nzArPNu20C3lqheMCTjxFQ==piBHdTJq/m1PaoMhMA2mnQQbLgvzz4w=
NWG-WGTSST30403,WatchGuard Total NDR - 3 Year - 251+ licenses,Electronic,MDR & NDR,Total NDR,https://partner.leadersystems.com.au/products.html?ec3CjC7LZ/M=65nOOM2IHLTmj25e8dpYAg==l7cPbBaYSyslImk3L6frKqtfQmFEjmM=
NWG-WGT1450215,Trade Up to WatchGuard Total Security Suite for Firebox T145 - 5-Year (License ONLY; HW SKU: WGT145000),Electronic,T-Series,T145,https://partner.leadersystems.com.au/products.html?jc5AfjGEi1U=MSe6kzKDwZg2RK3NUrzoeQ==swDyjI3sGsTlh0xK1/AVxfPw1x4g2w==
NWG-WGT1250085,WatchGuard Total Security Suite for Firebox T125 - 5-Year (License ONLY; HW SKU: WGT125000),Electronic,T-Series,T125,https://partner.leadersystems.com.au/products.html?coxYV0WaSjY=ehgpqFJQaDLUGeKaPvfibg==qmDRTpsYEWTziB6kYXkgz1uMv77+FQ==
NWG-WGT1460075,WatchGuard Basic Security Suite for Firebox T145-W - 5-Year (License ONLY; HW SKU: WGT146000),Electronic,T-Series,T145-W,https://partner.leadersystems.com.au/products.html?0QXDLlvn524=X5xwf1FvYurA0fiQDn7w9Q==3onHyfgqtV+pCuyPA2laRzwg1RoM9g==
NWG-WGT1460061,WatchGuard Standard Support for Firebox T145-W - 1-Year (License ONLY; HW SKU: WGT146000),Electronic,T-Series,T145-W,https://partner.leadersystems.com.au/products.html?tKWjWYovsdM=Oit2Rf+JSZfY9wcWLPMVlA==3tWUMUc7wVeIQPZFnbTaZLxfOsCPdg==
NWG-WGTSST30203,WatchGuard Total NDR - 3 Year - 51 to 100 licenses,Electronic,MDR & NDR,Total NDR,https://partner.leadersystems.com.au/products.html?pqzixWx7R5o=Y1tZbBOjM644TB681/nc/Q==DrYQX9hZX9FbarY6G6jg69aLT4A1T1Q=
NWG-WGFCT30103,WatchGuard FireCloud Total Access - 3 Year - 1 to 50 licenses,Electronic,FireCloud,FireCloud Total Access,https://partner.leadersystems.com.au/products.html?Wyg47CDNEqk=bpRqOr/4j6H8nN+7xNQX6g==L51ejWiUj3hSNU0uciNp28IVzYMNZA==
NWG-WGFCT30303,WatchGuard FireCloud Total Access - 3 Year - 101 to 250 licenses,Electronic,FireCloud,FireCloud Total Access,https://partner.leadersystems.com.au/products.html?m2tsmP6l/vw=7ZerJVe1bJTeAy1LfdrtUg==Q7ksohF9SDoJfDl5csDlmcNbpavj+A==
NWG-WGM495000,WatchGuard Firebox M495 Appliance Only – License Not Included (Requires Separate WG License Purchase),Physical,M-Series,M495,https://partner.leadersystems.com.au/products.html?fG+JoNItrc8=60/2dGJW8u9EzPNLBANqMQ==GGWB3xmaQp84KkENjYoBznRHKBpR
NWG-WGM2950203,Trade Up to WatchGuard Basic Security Suite for Firebox M295 - 3-Year (License ONLY; HW SKU: WGM295000),Electronic,M-Series,M295,https://partner.leadersystems.com.au/products.html?Lsn3uj1S96A=QomZvRS7seT/u0t2Lbq1Xg==etHKLYOqYQ+sM6LIFkR75bcdYpulYg==
NWG-WGT1160203,Trade Up to WatchGuard Basic Security Suite for Firebox T115-W - 3-Year (License ONLY; HW SKU: WGT116000),Electronic,T-Series,T115-W,https://partner.leadersystems.com.au/products.html?8qtoDZjFqkk=Sc4HK1oTHTj8pEkmUvK8ng==DAR1SnIEClsT9iy0ZftLmJG0nnnucQ==
NWG-WGT1160211,Trade Up to WatchGuard Total Security Suite for Firebox T115-W - 1-Year (License ONLY; HW SKU: WGT116000),Electronic,T-Series,T115-W,https://partner.leadersystems.com.au/products.html?TfuQWW0LjCg=qiyKnRnwUtg4g30wEA9tVA==zXy5OApHJNyRczUPe+DHRvglIi12Gg==
NWG-WGT116000,WatchGuard Firebox T115-W Appliance Only – License Not Included (Requires Separate WG License Purchase),Physical,T-Series,T115-W,https://partner.leadersystems.com.au/products.html?RdLCCydgUJo=LgXjurUKjpEPlh0C/+tXBg==kfrhkYeRDIsWK3oue1ZRK5hJOjbI
